@relation power-plant
@attribute AT numeric
@attribute V numeric
@attribute AP numeric
@attribute RH numeric
@attribute response numeric
@data
21.58,67.25,1017.39,79,446.15
27.66,76.86,1001.31,69.47,436.64
26.96,69.45,1013.89,51.47,436.69
12.29,42.18,1016.53,83.13,468.75
15.86,43.02,1012.18,40.33,466.6
13.87,45.08,1024.42,81.69,465.48
24.09,73.68,1014.93,94.55,441.34
20.45,69.45,1012.53,91.81,441.83
15.07,39.3,1019,63.62,464.7
32.72,69.75,1009.6,49.35,437.99
18.23,58.96,1015.55,69.61,459.12
35.56,68.94,1006.56,38.75,429.69
18.36,51.43,1010.57,90.17,459.8
26.35,64.05,1009.81,81.24,433.63
25.92,60.95,1014.62,48.46,442.84
8.01,41.66,1014.49,76.72,485.13
19.63,52.72,1025.09,51.16,459.12
20.02,67.32,1012.05,76.34,445.31
10.08,40.72,1022.7,67.3,480.8
27.23,66.48,1005.23,52.38,432.55
23.37,63.77,1013.42,76.44,443.86
18.74,59.21,1018.3,91.55,449.77
14.81,43.69,1017.19,71.9,470.71
23.1,51.3,1011.93,80.05,452.17
10.72,41.38,1021.6,63.77,478.29
29.46,71.94,1006.96,62.26,428.54
8.1,40.64,1020.66,89.04,478.27
27.29,62.66,1007.63,58.02,439.58
17.1,49.69,1005.53,81.82,457.32
11.49,44.2,1018.79,91.14,475.51
23.69,65.59,1010.85,88.92,439.66
13.51,40.89,1011.03,84.83,471.99
9.64,39.35,1015.1,91.76,479.81
25.65,78.92,1010.83,86.56,434.78
21.59,61.87,1011.18,57.21,446.58
27.98,58.33,1013.92,54.25,437.76
18.8,39.72,1001.24,63.8,459.36
18.28,44.71,1016.99,33.71,462.28
13.55,43.48,1016.08,67.25,464.33
22.99,46.21,1010.71,60.11,444.36
23.94,59.39,1014.32,74.55,438.64
13.74,34.03,1018.69,67.34,470.49
21.3,41.1,1001.86,42.75,455.13
27.54,66.93,1017.06,55.2,450.22
24.81,63.73,1009.34,83.61,440.43
4.97,42.85,1014.02,88.78,482.98
15.22,50.88,1014.19,100.12,460.44
23.88,54.2,1012.81,64.52,444.97
33.01,68.67,1005.2,51.41,433.94
25.98,73.18,1012.28,85.78,439.73
28.18,73.88,1005.89,75.41,434.48
21.67,60.84,1017.93,81.63,442.33
17.67,45.09,1014.26,51.92,457.67
21.37,57.76,1018.8,70.12,454.66
28.69,67.25,1017.71,53.83,432.21
16.61,43.77,1012.25,77.23,457.66
27.91,63.76,1010.27,65.67,435.21
20.97,47.43,1007.64,71.18,448.22
10.8,41.66,1013.79,81.96,475.51
20.61,62.91,1013.24,79.54,446.53
25.45,57.32,1011.7,47.09,441.3
30.16,69.34,1007.67,57.69,433.54
4.99,39.04,1020.45,78.89,472.52
10.51,44.78,1012.59,85.29,474.77
33.79,69.05,1001.62,40.13,435.1
21.34,59.8,1016.92,77.06,450.74
23.4,65.06,1014.32,67.38,442.7
32.21,68.14,1003.34,62.44,426.56
14.26,42.32,1016,77.43,463.71
27.71,66.93,1016.85,58.77,447.06
21.95,57.76,1018.02,67.72,452.27
25.76,63.94,1018.49,42.14,445.78
23.68,68.3,1017.93,84.16,438.65
8.28,40.77,1011.55,89.79,480.15
23.44,62.52,1016.46,67.21,447.19
25.32,48.41,1008.47,72.14,443.04
3.94,39.9,1008.06,97.49,488.81
17.3,57.76,1016.26,87.74,455.75
18.2,49.39,1018.83,96.3,455.86
21.43,46.97,1013.94,61.25,457.68
11.16,40.05,1014.95,88.38,479.11
30.38,74.16,1007.44,74.77,432.84
23.36,62.52,1016.18,68.18,448.37
21.69,47.45,1007.56,77.2,447.06
23.62,49.21,1014.1,49.54,443.53
21.87,61.45,1011.13,92.22,445.21
29.25,66.51,1015.53,33.65,441.7
20.03,66.86,1013.05,64.59,450.93
18.14,49.78,1002.95,100.09,451.44
24.23,56.89,1012.32,68.04,441.29
18.11,44.85,1014.48,48.94,458.85
6.57,43.65,1018.24,74.47,481.46
12.56,43.41,1016.93,81.02,467.19
13.4,41.58,1020.5,71.17,461.54
27.1,52.84,1006.28,53.85,439.08
14.28,42.74,1028.79,70.67,467.22
16.29,44.34,1019.49,59.36,468.8
31.24,71.98,1004.66,57.17,426.93
10.57,37.73,1024.36,70.29,474.65
13.8,44.21,1022.93,83.37,468.97
25.3,71.58,1010.18,87.36,433.97
18.06,50.16,1009.52,100.09,450.53
25.42,59.04,1011.98,68.78,444.51
15.07,40.69,1015.29,70.98,469.03
11.75,71.14,1019.36,75.68,466.56
20.23,52.05,1012.15,47.49,457.57
27.31,59.54,1006.24,71.99,440.13
28.57,69.84,1003.57,66.55,433.24
17.9,43.72,1008.64,74.73,452.55
23.83,71.37,1002.04,64.78,443.29
27.92,74.99,1005.47,75.13,431.76
17.34,44.78,1007.81,56.38,454.97
17.94,63.07,1012.42,94.35,456.7
6.4,39.9,1007.75,86.55,486.03
11.78,39.96,1011.37,82.95,472.79
20.28,57.25,1010.12,88.42,452.03
21.04,54.2,1012.26,85.61,443.41
25.11,67.32,1014.49,58.39,441.93
30.28,70.98,1007.51,74.28,432.64
8.14,36.24,1013.15,87.85,480.25
16.86,39.63,1004.47,83.5,466.68
